OrderNr;ArticleAmount_[#];CostOfOrder_[€];SalesOfOrder_[€];CostOfTransport_[€];TotalMass_[kG];Distance_[kM];OriginWarehouse;Date;Time
1;5;11,33;12,95;1,03;3;62; Rotterdam;30-11-2021;12:30
2;6;20,4;22,95;1,21;3;85; Eindhoven;31-3-2021;8:30
3;11;19,04;20,95;1,06;1,9;67; Eindhoven;30-11-2021;8:30
4;11;9,88;10,95;1,49;2,1;96; Utrecht;31-12-2021;17:30
5;8;21,11;23,95;1,11;3;85; Groningen;31-5-2021;8:30
6;9;17,36;19,95;0,93;2,4;60; Den Haag ('s-Gravenhage);31-12-2021;17:30
7;14;22,87;25,95;0,85;3;65; Den Haag ('s-Gravenhage);31-12-2021;17:30
8;12;15,04;16,95;1,06;2,8;65; Den Haag ('s-Gravenhage);31-12-2021;12:30
9;6;13,04;14,95;1,08;3,1;76; Den Haag ('s-Gravenhage);1-11-2021;12:30
10;9;9,68;10,95;1,12;2,1;74; Den Haag ('s-Gravenhage);1-11-2021;17:30
11;11;17,99;19,95;0,74;3,8;49; Rotterdam;30-11-2021;12:30
12;10;9,83;10,95;0,72;2,6;51; Rotterdam;1-11-2021;17:30
13;10;8,03;9,95;0,9;2,4;60; Den Haag ('s-Gravenhage);30-11-2021;17:30
14;6;16,06;17,95;1,09;2,5;79; Den Haag ('s-Gravenhage);31-12-2021;8:30
15;7;18,93;21,95;1,55;2,7;95; Den Haag ('s-Gravenhage);30-11-2021;8:30
16;12;15,69;17,95;0,91;2,2;60; Den Haag ('s-Gravenhage);31-3-2021;12:30
17;4;16,48;18,95;1,14;3,4;78; Tilburg;31-5-2021;12:30
18;8;19,76;21,95;1,14;2,6;88; Utrecht;30-11-2021;12:30
19;10;24,5;26,95;0,9;2,1;68; Tilburg;1-11-2021;17:30
20;13;9,87;11,95;1,09;3,3;78; Den Haag ('s-Gravenhage);1-11-2021;8:30
21;10;15,88;18,95;1,05;1,9;66; Den Haag ('s-Gravenhage);1-2-2021;8:30
22;5;12,32;13,95;0,88;2,5;63; Den Haag ('s-Gravenhage);31-12-2021;17:30
23;11;11,95;13,95;0,69;3,6;47; Breda;30-9-2021;12:30
24;9;8,58;9,95;1,07;2,9;65; Groningen;31-12-2021;8:30
25;6;17,53;19,95;0,9;1,9;67; Groningen;31-12-2021;8:30
26;10;13,54;14,95;0,83;2,2;63; Den Haag ('s-Gravenhage);1-3-2021;8:30
27;9;9,46;10,95;0,9;2,7;58; Den Haag ('s-Gravenhage);1-11-2021;12:30
28;8;18,5;20,95;1,27;2,7;76; Nijmegen;30-9-2021;12:30
